position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
1.0,0.0,-12.0,17.0,2.0,-23.0,-118.0,-490.0,-121.0,18.0,-28.0,-1.0,1.0,3.0
-1.0,-6.0,13.0,-2.0,-2.0,-162.0,-1021.0,-1167.0,79.0,-14.0,25.0,2.0,1.0,2.0
0.0,-4.0,-11.0,-18.0,0.0,-99.0,373.0,2564.0,15.0,-61.0,-44.0,-1.0,-4.0,1.0
0.0,6.0,35.0,12.0,0.0,98.0,160.0,1721.0,181.0,133.0,33.0,-3.0,3.0,1.0
0.0,4.0,-2.0,13.0,2.0,-207.0,300.0,-70.0,-46.0,109.0,-10.0,12.0,-4.0,1.0
0.0,2.0,-6.0,5.0,-6.0,-375.0,859.0,-1178.0,-95.0,39.0,-5.0,-13.0,14.0,1.0
0.0,6.0,-17.0,-2.0,6.0,203.0,449.0,-291.0,-32.0,-79.0,10.0,5.0,-3.0,1.0
0.0,-12.0,-40.0,-31.0,-2.0,90.0,511.0,524.0,55.0,-68.0,-2.0,-3.0,-21.0,1.0
0.0,4.0,-74.0,8.0,-3.0,44.0,451.0,963.0,-198.0,-82.0,-50.0,-2.0,10.0,1.0
0.0,-5.0,87.0,14.0,-2.0,-50.0,-1034.0,-780.0,113.0,58.0,44.0,4.0,13.0,1.0
0.0,0.0,-39.0,-16.0,1.0,110.0,722.0,292.0,-112.0,-34.0,-27.0,-5.0,-26.0,1.0
-1.0,8.0,-5.0,-10.0,-1.0,120.0,145.0,-406.0,-57.0,-39.0,0.0,3.0,27.0,1.0
0.0,7.0,28.0,33.0,-2.0,15.0,2130.0,1704.0,-125.0,-12.0,-2.0,0.0,-12.0,2.0
1.0,10.0,41.0,28.0,-3.0,-170.0,-1816.0,732.0,46.0,-29.0,16.0,7.0,9.0,3.0
0.0,-3.0,-39.0,-23.0,7.0,226.0,981.0,2286.0,187.0,51.0,28.0,-6.0,-2.0,2.0
0.0,-9.0,25.0,-1.0,-6.0,-153.0,708.0,190.0,-88.0,-11.0,-21.0,-2.0,5.0,2.0
0.0,20.0,9.0,7.0,0.0,-85.0,1484.0,-529.0,-58.0,53.0,-6.0,-2.0,12.0,2.0
-1.0,-6.0,-68.0,-27.0,-3.0,10.0,-1453.0,-1664.0,-139.0,-61.0,-12.0,2.0,-1.0,2.0
0.0,16.0,0.0,3.0,5.0,-80.0,1089.0,1297.0,-158.0,-4.0,-41.0,4.0,3.0,3.0
0.0,-8.0,-7.0,-6.0,-2.0,398.0,-391.0,-861.0,73.0,-28.0,-14.0,-6.0,3.0,3.0
0.0,-4.0,-13.0,-10.0,-2.0,442.0,2671.0,2332.0,17.0,-16.0,8.0,-3.0,-1.0,3.0
-1.0,19.0,-38.0,-15.0,-1.0,-233.0,-1219.0,-551.0,30.0,-2.0,-4.0,3.0,1.0,3.0
-1.0,11.0,-51.0,-34.0,-3.0,224.0,496.0,-2026.0,48.0,-42.0,-36.0,-5.0,-15.0,2.0
0.0,-6.0,52.0,30.0,1.0,-263.0,-383.0,1787.0,-28.0,-50.0,-9.0,1.0,-5.0,2.0
-1.0,12.0,-57.0,-37.0,-3.0,26.0,-214.0,851.0,-18.0,80.0,3.0,-5.0,0.0,2.0
1.0,-5.0,16.0,13.0,2.0,-104.0,-1644.0,-2205.0,-113.0,-20.0,-18.0,1.0,-19.0,3.0
-1.0,4.0,-36.0,-26.0,-1.0,-146.0,-614.0,-1824.0,69.0,-37.0,-8.0,1.0,11.0,2.0
-1.0,19.0,0.0,8.0,1.0,10.0,1246.0,615.0,-211.0,5.0,-7.0,0.0,1.0,3.0
